Id,Text,sentiment
1660624174875025409,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660621519507296259,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660617641093128197,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660616783542505472,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660616569964367873,"Dampak tragedi kanjuruhan,FIFA batalkan piala dunia U20 di indonesia.
#GanjarAkanJadikanRIKuat https://t.co/r7NCsYqyIj",
1660616232314494978,"FiFA nyatakan tragedi kanjuruhan sebagai penyebab gagalnya piala dunia U20 di indonesia.
#GanjarAkanJadikanRIKuat https://t.co/6VjQmWy9T4",
1660616055046434816,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660611137510178816,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660611096687022080,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660609089997529089,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660608655866363904,"@ardynshufi What if Argentina ke sini sebagai kompensasi penunjukkan piala dunia u20?
' ente kan kagak lolos u20, gw jadiin tuan rumah deh.
Tapi senior ente musti main sama Indonesia'
I mean, no free lunch",
1660607815751454720,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660607779546238977,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660607400670531585,"RT @3839TC: @ganjarpranowo dan anda juga yg gagalin piala dunia u20 main di indonesia, krn anda lebih taat dengan partai anda, bukan dengan…",
1660607089411235847,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660606397795696643,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660606034673795073,"@ibamhariri Pencitraan. 
Biar nantinya masyarakat tenggelam dalam euforia datangnya bintang' dunia di timnas Argentina, dan pemegang kepentingan akan disanjung'. Sementara, pembatalan liga 2 & 3, tragedi Kanjuruhan, dan batalnya piala dunia U20 di Indonesia menguap begitu saja.",
1660604680190443524,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660599548077821959,RT @wolfalone93: @MafiaWasit Yang masih menuduh Piala Dunia U20 Indonesia batal gara-gara tragedi Kanjuruhan dan/atau ketidaksiapan infrast…,
1660598028527616000,"@Sgm_mks @tukangrosok22 @jokowi @PDI_Perjuangan @Dennysiregar7 @gibran_tweet Yakin????2024 bnyk pemilih gen z loh,dan dominan penyuka sepakbola?efek piala dunia U20 yg batal di Indonesia sangat https://t.co/llXbex9vWd pilih GP,tapi ngk buat PDIP(freedom)",
1660595493729349633,"jangan sampai udah batalin piala dunia U20, batalin lagi indonesia vs argentina…combo yang sangat sangat horrroorrrr",
1660595095199182848,RT @chabibimuhammad: Seandainya pertandingan Piala Dunia U20 ini jadi digelar di Indonesia. Tentu akan ada banyak keuntungan bagi kita. Bkn…,
1660588684155166722,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660585224097665028,@ndrechoes @FaktaSepakbola Gak ikut dek diganti sama argentina u20 yg sebelumny gak lolos putaran final piala dunia.. krena status tuan rumah indonesia yg host diganti host mereka,
1660583709312172037,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660583218192744452,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660582097327915009,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660580155100889088,"@tokopedia Aku Mau Beli Jersey Indonesia ini min, Alhamdulillah Indonesia Juara di SEA Games, semoga di Piala Dunia U20 yang di selenggarakan di Argentina Indonesia bisa membuktikan pada dunia kalau kita mampu bersaing. #SaldoKaget #SportacularShopathon https://t.co/UdwD6ieLnY",
1660576427618738176,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660572790314127360,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660568817888817153,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660567726610595840,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660565999719182336,Ngeliat Piala Dunia U20 di Argentina jadi paham alasan sebenarnya kenapa Indonesia batal jadi tuan rumah. Miris dan mengsedih. ??????,
1660564801322627073,RT @GUNAWAN78116022: Kerusuhan di Stadion Kanjuruhan menjadi alasan FIFA membatalkan pegelaran piala dunia u20 di Indonesia. #GanjarAkanJad…,
1660564791285657601,RT @Bridget94300945: FIFA batalkan Rencana Indonesia Jadi Tuan Rumah Piala Dunia U20 karena Kerusuhan di Kanjuruhan. #GanjarAkanJadikanRIKu…,
1660564782397935617,RT @ChusnurD: Kerusuhan di Kanjuruhan membuat FIFA memandang lemahnya keamanan di Indonesia dan mencabut Indonesia sebagai tuan rumah Piala…,
1660564766744780802,"RT @Stormy15909228: FIFA Resmi Coret Nama Indonesia sebagai Tuan Rumah Piala Dunia U20 efek tragis Kejadian di Kanjuruhan. 
#GanjarAkanJadi…",
1660564754208002048,"RT @Indonesiakuu5: Kerusuhan di Kanjuruhan Memicu Pembatalan Piala Dunia U20 di Indonesia karena Faktor Keamanan yang sangat minim. 
#Ganja…",
1660564684469321730,"Kerusuhan di Kanjuruhan Memicu Pembatalan Piala Dunia U20 di Indonesia karena Faktor Keamanan yang sangat minim. 
#GanjarAkanJadikanRIKuat #LISA Becca Yakarta giselle Ferdy Sambo karina COVID-19 WORLD TOUR https://t.co/i5Bg325vLE",
1660564600868442112,"FIFA Resmi Coret Nama Indonesia sebagai Tuan Rumah Piala Dunia U20 efek tragis Kejadian di Kanjuruhan. 
#GanjarAkanJadikanRIKuat #LISA Becca Yakarta giselle Ferdy Sambo karina COVID-19 WORLD TOUR https://t.co/8OvTANrRtp",
